entity,code,min_long,max_long
Afghanistan,AFG,60.48574218750002,74.89130859375001
Aland,ALD,19.672265625000023,20.258886718750006
Albania,ALB,19.280664062500023,21.031054687500017
Algeria,DZA,-8.683349609375,11.967871093750006
American Samoa,ASM,-170.8205078125,-170.568115234375
Andorra,AND,1.414843750000017,1.740234375
Angola,AGO,11.743066406250023,24.046679687500017
Anguilla,AIA,-63.16000976562499,-62.97958984374999
Antarctica,ATA,-180.0,180.0
Antigua and Barbuda,ATG,-61.887109374999994,-61.68603515625
Argentina,ARG,-73.57626953124999,-53.66855468749999
Armenia,ARM,43.439453125,46.58476562500002
Aruba,ABW,-70.06611328125,-69.895703125
Ashmore and Cartier Islands,ATC,123.57246093750001,123.59521484375
Australia,AUS,113.18476562500001,153.61689453125
Austria,AUT,9.524023437500006,17.147363281250023
Azerbaijan,AZE,45.00136718750002,50.36591796875001
Bahrain,BHR,50.45244140625002,50.61748046875002
Bangladesh,BGD,88.0234375,92.63164062499999
Barbados,BRB,-59.6466796875,-59.427636718749994
Belarus,BLR,23.175097656250017,32.71025390625002
Belgium,BEL,2.52490234375,6.364453125000011
Belize,BLZ,-89.2375,-88.08525390624999
Benin,BEN,0.7633789062500114,3.83447265625
Bermuda,BMU,-64.86284179687499,-64.66831054687499
Bhutan,BTN,88.73876953125,92.08339843750002
Bolivia,BOL,-69.645703125,-57.49565429687499
Bosnia and Herzegovina,BIH,15.736621093750017,19.583789062500017
Botswana,BWA,19.977343750000017,29.364843750000006
Brazil,BRA,-74.00205078124999,-34.80546874999999
British Indian Ocean Territory,IOT,72.34970703125,72.49853515625
British Virgin Islands,VGB,-64.69511718749999,-64.545166015625
Brunei,BRN,114.06386718750002,115.04765624999999
Bulgaria,BGR,22.344042968750017,28.585351562500023
Burkina Faso,BFA,-5.523535156249977,2.38916015625
Burundi,BDI,29.01416015625,30.811425781250023
Cabo Verde,CPV,-23.785009765624977,-23.444238281249994
Cambodia,KHM,102.31972656250002,107.60546875
Cameroon,CMR,8.532812500000006,16.183398437500017
Canada,CAN,-141.0021484375,-55.67280273437501
Cayman Islands,CYM,-81.419091796875,-81.10712890625
Central African Republic,CAF,14.43115234375,27.4033203125
Chad,TCD,13.4482421875,23.9833984375
Chile,CHL,-75.70810546874999,-67.0087890625
China,CHN,73.60732421875002,134.75234375000002
Colombia,COL,-79.02543945312499,-66.87602539062499
Comoros,COM,43.226660156250006,43.49150390625002
Cook Islands,COK,-159.84248046875,-159.736865234375
Costa Rica,CRI,-85.90800781249999,-82.56357421874999
Croatia,HRV,13.517187500000006,19.400976562500006
Cuba,CUB,-84.88720703125,-74.13681640624999
Curaçao,CUW,-69.15888671875,-68.75107421874999
Cyprus,CYP,32.30097656250001,34.05019531250002
Czechia,CZE,12.089746093750023,18.83222656250001
Democratic Republic of the Congo,COD,12.213671875000017,31.274023437500006
Denmark,DNK,8.121484375000023,10.926171875000023
Djibouti,DJI,41.7646484375,43.409765625000006
Dominica,DMA,-61.48115234375,-61.25107421874999
Dominican Republic,DOM,-72.000390625,-68.33916015624999
East Timor,TLS,124.9150390625,127.29609375000001
Ecuador,ECU,-80.96279296875,-75.24960937499999
Egypt,EGY,24.703222656250006,36.87138671875002
El Salvador,SLV,-90.105908203125,-87.71533203125
Equatorial Guinea,GNQ,9.385937500000011,11.335351562500023
Eritrea,ERI,36.4267578125,43.11669921875
Estonia,EST,23.432031250000023,28.15107421875001
Ethiopia,ETH,32.99892578125002,47.97822265625001
Falkland Islands,FLK,-59.649169921875,-57.79179687499999
Faroe Islands,FRO,-7.172167968749989,-6.631054687499983
Federated States of Micronesia,FSM,158.12763671875,158.3349609375
Fiji,FJI,177.2548828125,178.66767578125
Finland,FIN,20.622167968750006,31.536523437500023
France,FRA,-4.762499999999989,8.140332031250011
French Polynesia,PYF,-149.635009765625,-149.15087890625
French Southern and Antarctic Lands,ATF,68.76953125,70.55546875000002
Gabon,GAB,8.703125,14.480566406250006
Gambia,GMB,-16.824804687499977,-13.826708984374989
Georgia,GEO,39.97832031250002,46.67255859375001
Germany,DEU,5.857519531250006,15.0166015625
Ghana,GHA,-3.243896484375,1.1872070312500114
Greece,GRC,20.001269531250017,26.624902343750023
Greenland,GRL,-72.81806640625,-11.425537109375
Grenada,GRD,-61.782177734375,-61.60703124999999
Guam,GUM,144.64931640625002,144.94082031250002
Guatemala,GTM,-92.23515624999999,-88.22832031249999
Guernsey,GGY,-2.6461425781249943,-2.5123046874999773
Guinea,GIN,-15.051220703124983,-7.681201171874989
Guinea-Bissau,GNB,-16.711816406249994,-13.673535156249983
Guyana,GUY,-61.3908203125,-56.482812499999994
Haiti,HTI,-74.47812499999999,-71.64531249999999
Heard Island and McDonald Islands,HMD,73.25117187500001,73.83779296875002
Honduras,HND,-89.36259765624999,-83.15751953124999
Hong Kong S.A.R.,HKG,113.896484375,114.33525390624999
Hungary,HUN,16.093066406250017,22.87666015625001
Iceland,ISL,-24.475683593749977,-13.556103515624983
India,IND,68.1650390625,97.34355468749999
